# Site info for stations in the Delta.
# xy is in UTM zone 10, epsg:26910. lat-lon is epsg 4269
station_id,agency_id,name,x,y,lat,lon,agency_lat,agency_lon,d1641_id,cdec_id,agency,comment
tms,B91160,Sacramento River at Threemile Slough,613974.4,4218374.1,38.10600039,-121.69999998,38.106,-121.7,,TMS,dwr_ncro,
tpi,B95421,Tom Paine Sl above intake,639269.0,4183712.0,37.79016566,-121.41829135,37.790083,-121.418437,,TPI,dwr_ncro,wdl: B95421 for stage and B9542100 for temp and EC
tpp,B95425,Tom Paine Sl near Pescadero,645200.2,4181269.9,37.76724012,-121.35144334,37.76724044,-121.3514436,,TPP,dwr_ncro,
tps,B95420,Tom Paine Sl above the mouth,639228.5,4183701.0,37.79007273,-121.41875327,37.790583,-121.418583,,TPS,dwr_ncro,
pdup,B9541050,Paradise Cut Upstream,643229,4184985,37.80102257,-121.37308162,37.801022,-121.373076,,PDU,dwr_ncro,
trp,TRP,Tracy Pumping Plant,626865,4186450,37.81664284,-121.55864390,37.80027343,-121.584902,,TRP,dwr,Moved from facility to trash rack
uni,UNI,Union Island,643018.6,4187320.1,37.82209376,-121.37500950,37.82209337,-121.3750095,C8,UNI,usbr,Historically called bifurcation of Middle and Old Rivers
vic,VIC,Victoria Island,632927.2,4194823.6,37.89122603,-121.48825051,37.89122605,-121.48825,,VIC,usbr,Not confirmed
bks,BKS,Barker Slough Pumping Plant,605228,4237166.9,38.27639648,-121.79695831,38.27639642,-121.7969582,,BKS,dwr,Slightly moved closer to slough. D1461 site was in another side slough upstream.
vni,B95580,Venice Island,631822.4,4212328.2,38.04910045,-121.49759973,38.0491,-121.4976,,VNI,dwr,same as the WDL B95580
cse,22,Sacramento River at Collinsville,600859.1,4214643.6,38.07394488,-121.85009120,38.07394957,-121.8500958,C2B,CSE,dwr_des,
srh,70,Sacramento River at Hood,629247.7,4247651,38.36771538,-121.52050562,38.36771516,-121.5205061,C3A,SRH,dwr_des,Colocated wiht MWQI HOOD. Established to replace C3. Location confirmed visually by DES (there is a bogus location north).
rvb,30,Sacramento River at Rio Vista,615105,4224350,38.15970180,-121.68614230,38.15974033,-121.6862425,D24A,RVB,dwr_des,DWR Rio Vista site nudged 9m to the east and a few meters south to be always wet
mrz,40,Sacramento River at Martinez,575432.5,4209227.7,38.02761660,-122.14051920,38.02761665,-122.1405194,C6A,MRZ,dwr_des,
snc,21,Chadbourne Slough at Sunrise Duck Club,580303.5,4226742.3,38.18503208,-122.08305432,38.18503208,-122.0830545,S21,SNC,dwr_des,Not confirmed
gys,35,Goodyear Slough at Morrow Island club,579253,4219416,38.11910389,-122.09586353,38.11908576,-122.0957696,S35,GYS,dwr_des,Moved 8m to west to be in channel
